input_id	dealiased_id	standard_id	short_id
https://digital.csic.es/handle/10261/160086	https://digital.csic.es/handle/10261/160086	url:https://digital.csic.es/handle/10261/160086	rTsF78Zz
https://techterms.com/definition/web_service	https://techterms.com/definition/web_service	url:https://techterms.com/definition/web_service	zZ4MPcgN
https://techterms.com/definition/web_application	https://techterms.com/definition/web_application	url:https://techterms.com/definition/web_application	9DuaPjN9
https://csrc.nist.gov/glossary/term/Service_Composition	https://csrc.nist.gov/glossary/term/Service_Composition	url:https://csrc.nist.gov/glossary/term/Service_Composition	lgxxGp7O
https://www.rfc-editor.org/info/rfc2119	https://www.rfc-editor.org/info/rfc2119	url:https://www.rfc-editor.org/info/rfc2119	e4CC51Rz
https://www.openapis.org	https://www.openapis.org	url:https://www.openapis.org	ANtiJgw6
http://www.swebok.org	http://www.swebok.org	url:http://www.swebok.org	p50t2qyg
https://www.geeksforgeeks.org/difference-between-performance-and-stress-testing	https://www.geeksforgeeks.org/difference-between-performance-and-stress-testing	url:https://www.geeksforgeeks.org/difference-between-performance-and-stress-testing	f6zizBwr
doi:10.1145/2737182.2737185	doi:10.1145/2737182.2737185	doi:10.1145/2737182.2737185	108BflA2C
doi:10.1186/s13677-019-0134-y	doi:10.1186/s13677-019-0134-y	doi:10.1186/s13677-019-0134-y	tvhUEZes
https://owasp.org/www-project-web-security-testing-guide/stable	https://owasp.org/www-project-web-security-testing-guide/stable	url:https://owasp.org/www-project-web-security-testing-guide/stable	zVGk4gTL
doi:10.6028/NIST.SP.800-115	doi:10.6028/NIST.SP.800-115	doi:10.6028/nist.sp.800-115	uG8f13eB
https://www.veracode.com/security/interactive-application-security-testing-iast	https://www.veracode.com/security/interactive-application-security-testing-iast	url:https://www.veracode.com/security/interactive-application-security-testing-iast	rOjwGLXC
https://www.cisecurity.org/cis-benchmarks	https://www.cisecurity.org/cis-benchmarks	url:https://www.cisecurity.org/cis-benchmarks	CSzf9SEX
doi:10.6028/NIST.IR.8176	doi:10.6028/NIST.IR.8176	doi:10.6028/nist.ir.8176	N3tB89XW
url:https://hub.docker.com	url:https://hub.docker.com	url:https://hub.docker.com	fei3c4fX
